Date,Month,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,RainToday,RainTomorrow
2019-03-16,Mar,13.2,24.5,0.0,,,SE,43,18.2,65,,SSE,19,1020.5,22.5,45,8.0,E,20,1019.3,0,0
2019-03-17,Mar,14.6,23.1,0.0,,,SSW,39,18.1,71,8.0,S,15,1018.6,21.9,46,7.0,SE,20,1015.2,0,0
2019-03-18,Mar,12.7,25.5,15.8,,,SSE,54,18.8,76,8.0,SSW,28,1011.7,24.4,56,8.0,ESE,30,1011.4,1,0
2019-03-19,Mar,15.7,26.0,0.0,,,SE,41,18.7,78,8.0,S,11,1014.5,25.2,46,8.0,ESE,20,1012.3,0,1
2019-03-20,Mar,12.2,28.8,0.2,,,ENE,44,17.2,83,, ,0,1015.5,26.5,37,3.0,S,9,1012.5,0,0
2019-03-21,Mar,14.7,27.3,0.2,,,E,28,18.6,73,,SE,13,1017.4,26.2,45,7.0,N,13,1014.5,0,0
2019-03-22,Mar,16.7,22.5,0.0,,,SW,26,18.8,76,,SSE,6,1017.5,20.7,64,6.0,WSW,9,1015.8,0,0
2019-03-23,Mar,10.1,24.6,1.0,,,WSW,15,14.1,96,7.0, ,0,1014.7,24.0,50,6.0,N,6,1011.4,0,0
2019-03-24,Mar,14.0,27.5,0.0,,,NW,54,16.5,90,8.0,N,11,1014.7,25.3,46,8.0,NW,20,1010.6,0,0
2019-03-25,Mar,16.5,22.5,0.6,,,NW,69,16.9,89,8.0,NW,39,1008.0,19.7,68,1.0,NW,35,1006.3,0,0
2019-03-26,Mar,8.0,22.6,0.0,,,WNW,56,12.8,40,,NW,31,1014.2,21.1,23,,NW,24,1014.9,0,0
2019-03-27,Mar,4.2,22.9,0.0,,,ENE,31,10.5,69,,SE,15,1024.2,21.8,38,,NE,17,1021.0,0,0
2019-03-28,Mar,6.8,26.4,0.0,,,NW,37,13.0,89,,SE,7,1020.6,24.9,41,,NNW,22,1016.1,0,0
2019-03-29,Mar,12.2,25.0,1.0,,,NNW,44,16.3,93,8.0,N,11,1014.3,23.2,57,5.0,N,22,1008.9,0,0
2019-03-30,Mar,13.3,16.4,45.2,,,WNW,69,14.8,98,8.0,N,7,1002.0,13.9,44,8.0,WNW,35,1002.1,1,0
2019-03-31,Mar,3.1,16.9,1.8,,,NW,48,9.8,58,,WNW,13,1013.4,16.2,48,,WNW,28,1014.1,1,1
2019-04-01,Apr,3.0,19.4,0.0,,,ENE,31,8.4,89,, ,0,1023.4,17.2,59,8.0,NE,19,1023.6,0,1
2019-04-02,Apr,7.2,22.7,0.0,,,NE,24,11.7,89,3.0,N,4,1029.3,21.3,49,8.0,NNW,13,1025.3,0,0
2019-04-03,Apr,7.9,24.6,0.0,,,E,37,12.2,99,, ,0,1028.0,23.7,42,3.0,WNW,15,1025.4,0,0
2019-04-04,Apr,12.2,22.5,0.0,,,SE,31,16.1,62,7.0,SSE,7,1031.0,20.8,52,8.0,E,17,1029.3,0,0
2019-04-05,Apr,13.9,21.0,0.0,,,NE,26,15.2,77,8.0,ENE,15,1031.1,19.4,57,8.0,NE,13,1026.7,0,0
2019-04-06,Apr,9.6,25.2,0.0,,,NNW,44,14.8,95,6.0,NNW,13,1022.8,22.7,49,4.0,NNW,22,1019.2,0,0
2019-04-07,Apr,7.6,24.9,0.0,,,NW,41,13.2,99,8.0,SE,2,1020.6,24.4,26,,NW,26,1016.1,0,0
2019-04-08,Apr,6.3,24.8,0.0,,,NW,48,16.0,56,,SW,2,1017.3,23.5,28,1.0,NW,33,1014.1,0,0
2019-04-09,Apr,13.0,20.9,0.0,,,WSW,50,18.4,47,,WNW,28,1012.6,18.7,34,,WNW,28,1013.7,0,0
2019-04-10,Apr,0.5,18.5,0.0,,,SSW,28,10.1,56,,SE,15,1025.3,17.9,35,,W,11,1022.6,0,0
2019-04-11,Apr,1.6,20.1,0.0,,,E,33,10.2,71,, ,0,1027.1,19.5,39,,WNW,6,1023.2,0,0
2019-04-12,Apr,10.2,21.8,0.0,,,W,30,14.3,66,,ENE,6,1027.0,19.8,46,5.0,WNW,11,1022.5,0,0
2019-04-13,Apr,4.7,23.2,0.0,,,ESE,30,13.6,61,,ESE,6,1025.3,21.7,34,5.0,ESE,11,1021.8,0,0
2019-04-14,Apr,10.5,21.5,0.0,,,ENE,30,15.6,63,1.0,SE,11,1026.8,21.2,46,3.0,ENE,13,1022.8,0,0
2019-04-15,Apr,6.1,22.2,0.0,,,NE,28,13.8,72,1.0,SSW,4,1026.0,21.8,39,5.0,NNW,13,1022.2,0,0
2019-04-16,Apr,6.9,23.9,0.0,,,W,20,13.6,75,,SE,9,1027.5,22.3,35,,NW,9,1023.2,0,0
2019-04-17,Apr,7.2,24.3,0.0,,,WSW,26,14.5,79,,SSW,9,1027.1,23.9,29,,NW,11,1023.0,0,0
2019-04-18,Apr,6.3,26.1,0.0,,,W,33,14.9,69,, ,0,1026.5,25.5,30,,W,24,1023.9,0,0
2019-04-19,Apr,13.7,24.9,0.0,,,NNW,20,15.4,79,8.0, ,0,1030.1,24.3,42,,NW,9,1025.6,0,0
2019-04-20,Apr,9.8,25.8,0.0,,,E,26,15.4,84,8.0, ,0,1028.0,25.7,35,,SW,13,1023.2,0,0
2019-04-21,Apr,8.8,24.0,0.0,,,NW,28,16.7,79,,WSW,7,1025.5,23.0,52,1.0,WNW,11,1022.1,0,0
2019-04-22,Apr,11.7,25.1,0.0,,,ESE,46,18.9,70,,WSW,6,1023.4,17.4,82,8.0,SW,11,1022.1,0,0
2019-04-23,Apr,10.1,23.7,10.0,,,E,33,15.1,87,7.0,S,11,1028.9,22.7,51,8.0,SSE,9,1024.9,1,0
2019-04-24,Apr,10.0,24.0,0.0,,,NW,28,16.1,84,1.0,NNW,4,1026.4,22.3,51,1.0,NW,17,1021.7,0,1
2019-04-25,Apr,8.0,24.6,0.0,,,NNW,33,14.9,78,, ,0,1022.3,22.6,50,4.0,W,22,1018.0,0,0
2019-04-26,Apr,10.0,19.2,0.0,,,WNW,59,15.7,57,,NW,20,1016.2,16.8,46,8.0,WNW,22,1013.3,0,0
2019-04-27,Apr,1.0,16.7,0.0,,,N,35,8.5,60,,SE,11,1024.9,15.9,34,,NNW,22,1021.3,0,0
2019-04-28,Apr,0.2,19.1,0.0,,,NNW,39,8.9,64,,N,7,1022.8,18.0,40,,NNW,28,1019.7,0,0
2019-04-29,Apr,1.6,21.2,0.0,,,NNW,20,10.3,69,,SSE,7,1026.4,20.5,31,,NNW,9,1022.2,0,0
2019-04-30,Apr,4.4,22.6,0.0,,,NNW,39,11.5,93,, ,0,1022.2,22.2,36,2.0,NW,20,1017.8,0,0
2019-05-01,May,6.5,20.8,0.0,,,NNW,33,12.4,80,8.0,NNW,6,1022.0,20.1,61,8.0,WNW,13,1021.3,0,0
2019-05-02,May,8.8,23.8,0.0,,,NNW,26,16.0,84,8.0,ESE,4,1026.6,22.4,57,8.0,NW,11,1022.5,0,0
2019-05-03,May,15.2,20.4,20.8,,,NNW,43,15.8,99,8.0,NNW,24,1019.1,18.9,75,,N,33,1015.8,1,0
2019-05-04,May,5.0,19.0,0.6,,,SSE,41,10.9,82,, ,0,1018.1,16.6,47,2.0,WNW,22,1015.6,0,1
2019-05-05,May,4.9,17.4,0.0,,,S,48,12.7,65,,S,24,1021.0,14.9,58,8.0,S,33,1019.4,0,0
2019-05-06,May,2.2,16.6,0.0,,,N,30,11.1,66,, ,0,1021.1,16.0,54,,NNW,15,1016.6,0,0
2019-05-07,May,0.0,15.5,0.0,,,NNW,48,5.5,99,8.0, ,0,1017.5,14.4,53,,NNW,30,1013.5,0,0
2019-05-08,May,1.4,13.1,1.8,,,WNW,54,9.5,76,8.0,NW,19,1012.5,11.2,54,8.0,WNW,28,1014.4,1,0
2019-05-09,May,0.8,14.4,0.0,,,N,39,8.4,86,,NNW,4,1019.8,13.7,52,,NNW,24,1015.5,0,1
2019-05-10,May,3.4,11.0,0.0,,,NW,46,8.4,84,5.0,SSW,11,1013.9,7.0,94,8.0,NNW,17,1012.6,0,0
2019-05-11,May,4.4,16.2,10.4,,,NNW,31,10.1,72,,WNW,11,1020.1,15.0,60,,NW,17,1021.1,1,0
2019-05-12,May,0.2,12.0,0.2,,,NNE,15,4.7,99,8.0,SE,4,1029.7,11.0,73,,SE,7,1027.8,0,1
2019-05-13,May,0.7,17.3,0.2,,,NNW,30,6.6,99,8.0, ,0,1031.0,16.7,48,,NW,19,1027.0,0,0
2019-05-14,May,0.3,18.1,0.0,,,NW,19,5.5,90,,NNW,7,1029.7,17.6,35,,NNW,13,1027.3,0,0
2019-05-15,May,-1.6,17.5,0.0,,,NNW,19,5.8,78,,SE,6,1032.3,17.0,28,,NNW,13,1029.0,0,0
2019-05-16,May,2.0,19.0,0.0,,,W,19,9.6,78,4.0, ,0,1030.9,18.6,44,,W,7,1026.5,0,0
2019-05-17,May,0.3,19.1,0.0,,,NW,33,7.0,85,,ESE,4,1029.8,18.8,44,,NNW,17,1026.6,0,0
2019-05-18,May,-0.1,19.2,0.0,,,SE,19,7.7,82,,SSE,9,1032.6,18.9,31,,WSW,9,1029.4,0,0
2019-05-19,May,3.6,18.9,0.0,,,NNW,17,10.3,86,1.0,SSW,4,1033.4,17.8,52,4.0,NW,13,1029.0,0,0
2019-05-20,May,4.6,19.4,0.0,,,NNW,35,8.4,91,6.0, ,0,1029.1,18.9,51,1.0,NNW,20,1024.5,0,0
2019-05-21,May,5.7,21.3,0.0,,,NW,37,14.8,72,,N,17,1026.3,19.2,55,,NNW,28,1024.5,0,0
2019-05-22,May,3.4,20.7,0.0,,,N,20,9.6,85,, ,0,1029.9,19.9,43,,NW,13,1027.1,0,0
2019-05-23,May,6.8,19.4,0.0,,,NW,28,10.9,86,7.0,SSE,9,1030.6,18.8,49,,NNW,19,1026.2,0,0
2019-05-24,May,-0.3,17.4,0.0,,,NNW,26,4.9,99,8.0,NNE,7,1026.2,16.7,49,8.0,NNW,17,1022.5,0,0
2019-05-25,May,1.8,20.0,0.0,,,NW,44,8.7,85,, ,0,1021.6,18.5,48,8.0,WNW,22,1016.8,0,0
2019-05-26,May,8.6,14.4,8.0,,,WNW,46,11.1,79,,NW,20,1015.3,13.3,45,,NW,26,1014.0,1,0
2019-05-27,May,5.8,9.1,0.4,,,NNW,63,5.8,78,8.0,WNW,26,1009.0,7.4,59,8.0,WNW,37,1008.6,0,1
2019-05-28,May,4.2,10.4,0.4,,,NW,61,6.6,67,,NNW,31,1013.9,7.2,84,8.0,NNW,33,1011.2,0,0
2019-05-29,May,6.5,9.8,1.2,,,NW,69,7.6,89,8.0,NNW,46,1004.6,9.2,60,,WNW,31,1004.3,1,0
2019-05-30,May,1.1,11.0,2.2,,,WSW,37,4.9,69,,N,9,1017.8,10.6,43,,NW,20,1017.7,1,1
2019-05-31,May,-2.7,12.0,0.0,,,N,31,3.5,93,,SSW,4,1024.1,11.4,64,,N,22,1023.1,0,1
2019-06-01,Jun,-0.7,15.2,0.2,,,S,30,4.0,99,, ,0,1030.1,14.7,51,,SSW,11,1028.7,0,0
2019-06-02,Jun,-1.6,15.7,0.0,,,NNW,30,4.2,90,, ,0,1029.3,14.9,51,,NNW,20,1023.7,0,0
2019-06-03,Jun,2.9,11.4,0.4,,,S,57,7.6,87,8.0,N,11,1017.1,8.7,64,8.0,NW,17,1013.5,0,0
2019-06-04,Jun,4.4,11.4,3.6,,,S,69,6.5,67,2.0,S,39,1019.3,9.7,59,7.0,SSW,37,1020.7,1,0
2019-06-05,Jun,3.3,12.3,0.0,,,S,46,7.8,63,1.0,S,19,1029.5,11.6,50,,SSE,13,1028.0,0,1
2019-06-06,Jun,-3.9,14.6,0.0,,,W,19,1.6,95,,NE,4,1032.6,13.9,47,,NW,13,1031.2,0,0
2019-06-07,Jun,-1.3,17.0,0.2,,,SE,17,5.5,87,,S,6,1038.4,16.5,44,,NNW,7,1034.9,0,0
2019-06-08,Jun,-0.1,11.2,0.0,,,NNW,20,4.1,99,8.0,N,4,1033.0,10.3,78,6.0, ,0,1029.3,0,0
2019-06-09,Jun,0.6,16.0,0.0,,,NW,28,4.6,100,8.0, ,0,1026.9,14.3,70,8.0,NNW,17,1022.7,0,0
2019-06-10,Jun,4.5,14.5,0.4,,,NNW,54,10.9,99,8.0,NNW,37,1020.3,12.7,85,8.0,NW,17,1017.8,0,0
2019-06-11,Jun,3.8,16.3,2.8,,,NW,26,8.1,99,8.0,SE,7,1026.6,15.9,48,,NW,13,1025.0,1,0
2019-06-12,Jun,0.6,17.4,0.0,,,NNW,50,5.8,100,6.0,E,2,1023.5,16.0,64,3.0,NNW,30,1019.7,0,1
2019-06-13,Jun,5.8,16.5,1.8,,,NW,39,12.0,99,8.0,NNW,20,1017.8,14.7,55,5.0,WNW,24,1016.3,1,0
2019-06-14,Jun,-2.2,14.5,0.0,,,WNW,30,2.4,98,1.0,ESE,7,1022.2,14.0,47,2.0,WNW,17,1019.1,0,1
2019-06-15,Jun,-1.4,13.7,0.0,,,NW,19,2.7,99,8.0,SE,6,1023.7,13.4,60,,NNW,11,1021.2,0,0
2019-06-16,Jun,-0.8,13.2,0.2,,,NNW,17,4.0,99,7.0,N,2,1024.9,12.7,55,8.0, ,0,1021.3,0,0
2019-06-17,Jun,1.1,15.6,0.0,,,SE,26,6.1,85,6.0, ,0,1024.5,14.2,54,8.0,SSW,7,1022.2,0,0
2019-06-18,Jun,0.5,13.7,0.0,,,NW,37,4.9,99,2.0,E,6,1022.1,11.5,59,8.0,NW,24,1018.9,0,0
2019-06-19,Jun,-2.7,11.9,0.4,,,WNW,26,2.2,95,, ,0,1024.1,11.2,44,,NW,9,1022.5,0,0
2019-06-20,Jun,-4.4,11.0,0.0,,,N,31,1.5,83,,SSW,2,1026.5,9.0,48,6.0,NNW,15,1022.3,0,0
2019-06-21,Jun,-4.9,11.4,0.0,,,S,37,-0.5,99,8.0,SSW,4,1025.5,10.5,40,,S,24,1024.2,0,0
2019-06-22,Jun,-1.5,11.5,0.0,,,S,35,5.4,70,,N,2,1029.0,10.8,44,,SSE,15,1026.9,0,0
2019-06-23,Jun,-3.8,10.8,0.2,,,SSW,39,6.0,75,2.0,SE,15,1029.5,9.8,57,8.0,S,28,1028.3,0,0
2019-06-24,Jun,-0.8,13.6,0.0,,,ESE,33,6.3,81,,SE,9,1034.1,11.8,55,7.0,ESE,20,1032.5,0,0
2019-06-25,Jun,-2.2,15.9,0.0,,,SSE,19,4.1,89,,N,6,1036.6,14.8,49,5.0,ESE,2,1033.7,0,0
2019-06-26,Jun,0.4,15.0,0.0,,,E,22,7.3,80,,SW,7,1038.7,14.4,46,,E,9,1035.6,0,0
2019-06-27,Jun,0.4,15.9,0.0,,,SE,17,6.4,99,8.0,SSE,6,1037.7,15.2,55,1.0,NE,7,1033.6,0,0
2019-06-28,Jun,-1.1,16.7,0.4,,,NNW,30,1.9,99,6.0, ,0,1034.2,15.8,49,,NNW,17,1029.3,0,0
2019-06-29,Jun,-1.7,16.6,0.0,,,N,54,4.4,99,5.0, ,0,1027.8,15.1,56,2.0,NNW,24,1019.5,0,0
2019-06-30,Jun,4.3,11.3,7.4,,,NNW,46,6.9,82,8.0,N,17,1021.3,10.2,49,,NNW,26,1021.3,1,0
2019-07-01,Jul,-4.7,12.5,0.2,,,N,31,0.6,90,,N,4,1026.9,11.1,50,1.0,NNW,11,1022.1,0,1
2019-07-02,Jul,-3.6,15.0,0.0,,,NW,37,0.6,96,,NE,2,1023.0,14.1,34,,NW,26,1020.5,0,0
2019-07-03,Jul,-3.1,15.6,0.0,,,E,30,4.9,84,6.0, ,0,1031.3,13.2,55,4.0,N,15,1030.7,0,0
2019-07-04,Jul,2.5,13.3,0.0,,,E,35,9.0,76,1.0,ESE,7,1038.1,12.2,66,8.0,SE,19,1036.7,0,0
2019-07-05,Jul,0.0,15.8,0.0,,,E,33,6.5,98,7.0,E,7,1039.2,12.8,79,8.0,E,13,1036.0,0,0
2019-07-06,Jul,4.6,15.6,0.2,,,NE,26,8.5,99,8.0,SSW,6,1038.0,14.8,51,1.0,ENE,11,1034.5,0,0
2019-07-07,Jul,0.2,15.3,0.2,,,NNW,17,8.9,83,6.0, ,0,1034.6,14.6,60,6.0,NW,7,1030.5,0,0
2019-07-08,Jul,7.3,15.9,0.0,,,NW,35,10.1,96,7.0,NNW,15,1026.3,14.9,58,3.0,WNW,26,1022.4,0,0
2019-07-09,Jul,-1.2,13.4,0.0,,,WNW,39,3.9,90,,SE,6,1022.6,12.0,48,,WNW,28,1018.9,0,0
2019-07-10,Jul,3.9,10.8,0.0,,,NNW,57,7.9,83,2.0,NNW,19,1019.1,9.5,64,8.0,NNW,28,1015.4,0,0
